Id,CJLastInvoiceDate__c,CJEnergyCutOffDate__c,CJAgreementCutOffDate__c,CJEnergyInvoicesDue__c,CJAgreementInvoicesDue__c,CJPSVAInvoicesDue__c,CJTotalDebt__c,CJTotalOverdueDebt__c,CJTotalInvoicesDue__c,CJCustomerRating__c,CJPaymentProbability__c,CJSuggestion1__c,CJSuggestion2__c,CJModelExecutionDate__c
0035B00000BJHpJQAX,#N/A,2017-10-02T00:00:00,#N/A,3.0,0.0,0.0,2319103.0,2319103.0,3.0,1.0,0.57406515402914,Telefono,Email,2017-11-14T00:00:00
0035B00000BYuZOQA1,#N/A,2017-10-03T00:00:00,#N/A,3.0,0.0,0.0,906827.0,906827.0,3.0,1.0,0.618612497298833,Telefono,IVR,2017-11-14T00:00:00
0035B00000BAwIBQA1,2017-06-19T00:00:00,2017-10-30T00:00:00,#N/A,2.0,0.0,0.0,49753.0,49753.0,2.0,1.0,0.593804423987482,IVR,SMS,2017-11-14T00:00:00
0035B00000BBQ3ZQAX,2017-08-05T00:00:00,2017-10-30T00:00:00,#N/A,1.0,0.0,0.0,39294.0,39294.0,1.0,1.0,0.550866179177514,IVR,SMS,2017-11-14T00:00:00
0035B00000BBTl0QAH,#N/A,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,95491.0,95491.0,1.0,1.0,0.650933081249724,IVR,SMS,2017-11-14T00:00:00
0035B00000BAwFWQA1,2008-04-11T00:00:00,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,70329.0,70329.0,1.0,1.0,0.657437889736709,IVR,Email,2017-11-14T00:00:00
0035B00000BAvIkQAL,2013-02-26T00:00:00,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,27659.0,27659.0,1.0,1.0,0.773738546822313,No Hacer Nada,No Hacer Nada,2017-11-14T00:00:00
0035B00000BBHpdQAH,#N/A,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,49660.0,49660.0,1.0,1.0,0.847452602322722,No Hacer Nada,No Hacer Nada,2017-11-14T00:00:00
0035B00000CIRP5QAP,#N/A,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,136041.0,136041.0,1.0,1.0,0.710065145154504,Email,SMS,2017-11-14T00:00:00
0035B00000BBT0oQAH,2013-06-19T00:00:00,2017-11-30T00:00:00,#N/A,1.0,0.0,0.0,30087.0,30087.0,1.0,1.0,0.802743304407154,No Hacer Nada,No Hacer Nada,2017-11-14T00:00:00
